                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.0824,                0.51136,                 1.0623,                0.92257,                0.77722,                0.86476,                 0.5131,                  1.598,                0.78528,                 1.4197,             0.00034663,             0.00034663,             0.00034663
                     75,                 1.0737,                0.50707,                 1.0604,                0.90194,                0.79176,                0.87449,                0.51217,                  1.605,                0.76601,                 1.4224,             0.00033425,             0.00033425,             0.00033425
                     76,                 1.0465,                0.49557,                 1.0479,                0.89194,                0.79168,                0.86075,                0.50825,                 1.6103,                0.80369,                 1.4318,             0.00032188,             0.00032188,             0.00032188
                     77,                 1.0522,                0.49506,                 1.0491,                0.90434,                0.79019,                0.86094,                0.51766,                 1.6135,                 0.7954,                 1.4376,              0.0003095,              0.0003095,              0.0003095
                     78,                 1.0524,                0.49511,                 1.0526,                0.87933,                 0.8041,                0.85727,                0.50717,                 1.6108,                0.78134,                 1.4479,             0.00029713,             0.00029713,             0.00029713
                     79,                 1.0338,                0.48797,                 1.0386,                0.90087,                0.80194,                0.86258,                0.50801,                 1.6034,                0.79268,                 1.4262,             0.00028475,             0.00028475,             0.00028475
                     80,                 1.0323,                  0.486,                 1.0399,                0.89944,                0.80577,                0.86148,                0.50739,                  1.612,                 0.7671,                 1.4485,             0.00027237,             0.00027237,             0.00027237
                     81,                 1.0253,                 0.4849,                 1.0386,                0.88079,                0.79719,                0.86151,                0.51111,                 1.5956,                0.76334,                 1.4409,                0.00026,                0.00026,                0.00026
                     82,                 1.0172,                0.48014,                 1.0354,                0.90098,                0.79384,                0.86523,                0.51456,                  1.588,                0.76114,                 1.4348,             0.00024762,             0.00024762,             0.00024762
                     83,                 1.0226,                0.48243,                 1.0362,                0.87107,                0.82301,                0.87042,                0.51789,                 1.5975,                0.76507,                 1.4306,             0.00023525,             0.00023525,             0.00023525
                     84,                 1.0121,                0.47481,                  1.033,                0.90125,                0.80179,                0.87093,                0.51606,                 1.6064,                0.76697,                 1.4385,             0.00022288,             0.00022288,             0.00022288
                     85,                  1.008,                0.47323,                 1.0279,                0.89167,                0.79703,                0.86499,                0.51642,                 1.6212,                0.78752,                 1.4471,              0.0002105,              0.0002105,              0.0002105
                     86,                  1.004,                0.47238,                 1.0283,                0.90304,                0.79361,                0.87422,                0.52088,                 1.6042,                0.75101,                  1.435,             0.00019813,             0.00019813,             0.00019813
                     87,                0.99403,                0.46459,                 1.0251,                0.89729,                0.82179,                0.88129,                0.52384,                 1.6113,                 0.7661,                 1.4478,             0.00018575,             0.00018575,             0.00018575
                     88,                 0.9857,                0.46574,                 1.0228,                0.88684,                0.82721,                0.87217,                  0.518,                 1.6081,                0.77201,                 1.4477,             0.00017338,             0.00017338,             0.00017338
                     89,                0.97679,                0.46211,                 1.0184,                0.89453,                 0.8126,                0.87122,                0.51628,                 1.6068,                0.76497,                 1.4424,               0.000161,               0.000161,               0.000161
                     90,                0.97323,                0.45939,                 1.0177,                0.88395,                0.80865,                0.87307,                0.51745,                 1.6096,                0.77845,                 1.4421,             0.00014862,             0.00014862,             0.00014862
                     91,                 1.0115,                0.46614,                 1.0522,                0.90322,                 0.7778,                0.86032,                0.50527,                 1.6156,                0.79101,                 1.4468,             0.00013625,             0.00013625,             0.00013625
                     92,                 0.9433,                0.41357,                 1.0121,                0.87718,                0.80251,                0.85574,                 0.5085,                 1.6228,                0.77966,                  1.458,             0.00012387,             0.00012387,             0.00012387
                     93,                0.92902,                0.40529,                 1.0097,                0.88582,                0.80185,                0.85574,                 0.5085,                 1.6155,                0.78142,                 1.4496,              0.0001115,              0.0001115,              0.0001115
                     94,                0.91429,                0.39837,                 1.0035,                 0.8893,                0.80447,                0.85633,                0.50857,                 1.6101,                0.78539,                 1.4645,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.90221,                0.39352,                0.99552,                0.89251,                0.80222,                0.86076,                0.50303,                 1.6151,                0.78015,                 1.4633,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.89238,                0.39019,                0.99595,                0.89197,                0.81362,                0.85921,                0.50965,                 1.6162,                0.78217,                 1.4684,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.88825,                0.38847,                0.99508,                0.88741,                0.80823,                 0.8594,                0.51138,                 1.6124,                0.80484,                 1.4649,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.88191,                 0.3853,                0.99008,                0.89206,                0.80636,                0.86115,                0.51456,                 1.6125,                0.79778,                 1.4723,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.87289,                0.38441,                0.98555,                0.89843,                 0.8046,                0.86658,                0.51994,                 1.6084,                0.79543,                 1.4695,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.87296,                0.37778,                0.98399,                0.89269,                0.79954,                0.86537,                0.51717,                 1.6103,                0.81028,                 1.4659,             2.4875e-05,             2.4875e-05,             2.4875e-05
